start_block,source_lat,source_long,end_block,dest_lat,dest_long,distance,time
325031,37.80565077,-122.4127691,325031,37.80565077,-122.4127691,0,0
325031,37.80565077,-122.4127691,325032,37.80579612,-122.4127962,0,0
325031,37.80565077,-122.4127691,325041,37.8054486,-122.4143769,143,23
325031,37.80565077,-122.4127691,325042,37.80560853,-122.4142738,131,21
325031,37.80565077,-122.4127691,325052,37.80538171,-122.4161215,296,49
325031,37.80565077,-122.4127691,326022,37.80764233,-122.4131553,352,111
325031,37.80565077,-122.4127691,326032,37.8074316,-122.4147983,354,133
325031,37.80565077,-122.4127691,326042,37.80722541,-122.4164831,505,146
325031,37.80565077,-122.4127691,326052,37.8070172,-122.41811,721,166
325031,37.80565077,-122.4127691,326061,37.80664454,-122.4201217,718,158
325031,37.80565077,-122.4127691,326062,37.80684068,-122.4194976,675,154
325031,37.80565077,-122.4127691,326071,37.8064826,-122.4213478,827,192
325031,37.80565077,-122.4127691,326072,37.80659877,-122.4215404,842,195
325031,37.80565077,-122.4127691,326081,37.80627288,-122.4229969,976,234
325031,37.80565077,-122.4127691,326082,37.80639308,-122.4230547,976,234
325031,37.80565077,-122.4127691,363121,37.80554717,-122.4179204,466,92
325031,37.80565077,-122.4127691,363122,37.80575588,-122.4179054,480,95
325031,37.80565077,-122.4127691,363131,37.80635184,-122.4191068,603,127
325031,37.80565077,-122.4127691,363132,37.80660028,-122.4191531,624,132
325031,37.80565077,-122.4127691,472281,37.8071555,-122.4207383,812,189
325031,37.80565077,-122.4127691,502262,37.80570811,-122.4169221,419,97
325031,37.80565077,-122.4127691,502271,37.80661034,-122.417237,522,135
325031,37.80565077,-122.4127691,502282,37.80742708,-122.4172631,613,168
325031,37.80565077,-122.4127691,542301,37.80598019,-122.4221721,965,203
325031,37.80565077,-122.4127691,542302,37.8060169,-122.4220439,969,204
325031,37.80565077,-122.4127691,546271,37.8060858,-122.4188171,815,206
325031,37.80565077,-122.4127691,546272,37.80659525,-122.418788,614,134
325031,37.80565077,-122.4127691,546273,37.80663197,-122.4189288,620,135
325031,37.80565077,-122.4127691,546281,37.80733253,-122.4190696,699,163
325031,37.80565077,-122.4127691,546282,37.80707856,-122.4188845,668,154
325031,37.80565077,-122.4127691,562231,37.80542547,-122.4136431,98,37
325031,37.80565077,-122.4127691,562241,37.80607272,-122.4137558,123,44
325031,37.80565077,-122.4127691,562242,37.80603903,-122.413613,117,42
325031,37.80565077,-122.4127691,562252,37.80702625,-122.4138161,228,85
325031,37.80565077,-122.4127691,562261,37.80786914,-122.4141194,325,138
325031,37.80565077,-122.4127691,562262,37.8079652,-122.4140042,334,141
325031,37.80565077,-122.4127691,585012,37.80714896,-122.4095605,406,95
325031,37.80565077,-122.4127691,585022,37.80694126,-122.4112306,260,72
325031,37.80565077,-122.4127691,585031,37.80660179,-122.4128641,241,73
325031,37.80565077,-122.4127691,585032,37.80672601,-122.4129652,247,75
325031,37.80565077,-122.4127691,585041,37.80638202,-122.4145962,251,86
325031,37.80565077,-122.4127691,585042,37.80649517,-122.4147837,265,88
325031,37.80565077,-122.4127691,585051,37.80618035,-122.41621,394,115
325031,37.80565077,-122.4127691,585052,37.80630507,-122.4163066,400,116
325031,37.80565077,-122.4127691,585061,37.80598169,-122.4178118,502,104
325031,37.80565077,-122.4127691,585092,37.80545916,-122.4228314,923,206
325031,37.80565077,-122.4127691,612311,37.80590978,-122.4238599,1127,220
325031,37.80565077,-122.4127691,612312,37.80577147,-122.4236748,1109,216
325031,37.80565077,-122.4127691,616231,37.80621052,-122.4121047,108,34
325031,37.80565077,-122.4127691,616241,37.80721334,-122.4123079,225,68
325031,37.80565077,-122.4127691,616242,37.80697697,-122.4121077,197,61
325031,37.80565077,-122.4127691,664232,37.80733504,-122.4105069,361,103
325031,37.80565077,-122.4127691,681251,37.80587457,-122.4154028,271,67
325031,37.80565077,-122.4127691,681252,37.80595605,-122.4152811,278,69
325031,37.80565077,-122.4127691,681261,37.80677077,-122.4155864,372,106
325031,37.80565077,-122.4127691,681262,37.80686431,-122.4154657,381,108
325031,37.80565077,-122.4127691,681271,37.8076901,-122.4157685,476,147
325031,37.80565077,-122.4127691,681272,37.80774593,-122.4156437,480,149
325031,37.80565077,-122.4127691,847001,37.80846158,-122.4133791,458,167
325031,37.80565077,-122.4127691,847011,37.80825991,-122.415,459,196
325031,37.80565077,-122.4127691,847021,37.80806226,-122.4166063,610,204
325031,37.80565077,-122.4127691,847031,37.80784802,-122.418275,821,203
325031,37.80565077,-122.4127691,847032,37.80791541,-122.4185888,798,196
325031,37.80565077,-122.4127691,847041,37.80767803,-122.4196671,803,201
325031,37.80565077,-122.4127691,847042,37.80775397,-122.4197853,812,203
325031,37.80565077,-122.4127691,847052,37.80760209,-122.4211753,898,221
325032,37.80579612,-122.4127962,325031,37.80565077,-122.4127691,0,0
325032,37.80579612,-122.4127962,325032,37.80579612,-122.4127962,0,0
325032,37.80579612,-122.4127962,325041,37.8054486,-122.4143769,143,23
325032,37.80579612,-122.4127962,325042,37.80560853,-122.4142738,131,21
325032,37.80579612,-122.4127962,325052,37.80538171,-122.4161215,296,49
325032,37.80579612,-122.4127962,326022,37.80764233,-122.4131553,352,111
325032,37.80579612,-122.4127962,326032,37.8074316,-122.4147983,354,133
325032,37.80579612,-122.4127962,326042,37.80722541,-122.4164831,505,146
325032,37.80579612,-122.4127962,326052,37.8070172,-122.41811,721,167
325032,37.80579612,-122.4127962,326061,37.80664454,-122.4201217,719,158
325032,37.80579612,-122.4127962,326062,37.80684068,-122.4194976,675,154
325032,37.80579612,-122.4127962,326071,37.8064826,-122.4213478,828,192
325032,37.80579612,-122.4127962,326072,37.80659877,-122.4215404,842,195
325032,37.80579612,-122.4127962,326081,37.80627288,-122.4229969,976,235
325032,37.80579612,-122.4127962,326082,37.80639308,-122.4230547,976,235
325032,37.80579612,-122.4127962,363121,37.80554717,-122.4179204,466,92
325032,37.80579612,-122.4127962,363122,37.80575588,-122.4179054,480,95
325032,37.80579612,-122.4127962,363131,37.80635184,-122.4191068,603,127
325032,37.80579612,-122.4127962,363132,37.80660028,-122.4191531,624,132
325032,37.80579612,-122.4127962,472281,37.8071555,-122.4207383,812,189
325032,37.80579612,-122.4127962,502262,37.80570811,-122.4169221,419,97
325032,37.80579612,-122.4127962,502271,37.80661034,-122.417237,523,135
325032,37.80579612,-122.4127962,502282,37.80742708,-122.4172631,613,169
325032,37.80579612,-122.4127962,542301,37.80598019,-122.4221721,965,203
325032,37.80579612,-122.4127962,542302,37.8060169,-122.4220439,969,204
325032,37.80579612,-122.4127962,546271,37.8060858,-122.4188171,815,206
325032,37.80579612,-122.4127962,546272,37.80659525,-122.418788,614,134
325032,37.80579612,-122.4127962,546273,37.80663197,-122.4189288,620,135
325032,37.80579612,-122.4127962,546281,37.80733253,-122.4190696,699,163
325032,37.80579612,-122.4127962,546282,37.80707856,-122.4188845,668,154
325032,37.80579612,-122.4127962,562231,37.80542547,-122.4136431,98,37
325032,37.80579612,-122.4127962,562241,37.80607272,-122.4137558,123,44
325032,37.80579612,-122.4127962,562242,37.80603903,-122.413613,117,43
325032,37.80579612,-122.4127962,562252,37.80702625,-122.4138161,229,85
325032,37.80579612,-122.4127962,562261,37.80786914,-122.4141194,325,138
325032,37.80579612,-122.4127962,562262,37.8079652,-122.4140042,334,141
325032,37.80579612,-122.4127962,585012,37.80714896,-122.4095605,406,95
325032,37.80579612,-122.4127962,585022,37.80694126,-122.4112306,260,72
325032,37.80579612,-122.4127962,585031,37.80660179,-122.4128641,240,73
325032,37.80579612,-122.4127962,585032,37.80672601,-122.4129652,247,75
325032,37.80579612,-122.4127962,585041,37.80638202,-122.4145962,251,86
325032,37.80579612,-122.4127962,585042,37.80649517,-122.4147837,266,88
325032,37.80579612,-122.4127962,585051,37.80618035,-122.41621,394,115
325032,37.80579612,-122.4127962,585052,37.80630507,-122.4163066,400,116
325032,37.80579612,-122.4127962,585061,37.80598169,-122.4178118,502,104
325032,37.80579612,-122.4127962,585092,37.80545916,-122.4228314,924,206
325032,37.80579612,-122.4127962,612311,37.80590978,-122.4238599,1127,220
325032,37.80579612,-122.4127962,612312,37.80577147,-122.4236748,1109,216
325032,37.80579612,-122.4127962,616231,37.80621052,-122.4121047,108,34
325032,37.80579612,-122.4127962,616241,37.80721334,-122.4123079,225,68
