Timestamp,Source_node_id,DestinationID,TotalTime,DrivingTime,WalkingTime,No_of_iteration
2012-04-06 00:06:32,7001,612311,215,188,27,44
2012-04-06 00:06:32,7002,585092,69,17,52,0
2012-04-06 00:06:32,7003,585092,202,47,155,0
2012-04-06 00:06:32,7004,326072,208,104,104,1
2012-04-06 00:06:32,7005,326072,58,15,43,0
2012-04-06 00:06:32,7006,585092,69,16,53,0
2012-04-06 00:06:32,7007,585092,226,66,160,0
2012-04-06 00:06:32,7008,326072,373,142,231,1
2012-04-06 00:06:32,7009,472281,817,783,34,23
2012-04-06 00:06:32,7010,326072,84,21,63,1
2012-04-06 00:06:32,7011,585092,206,49,157,0
2012-04-06 00:06:32,7012,326072,390,115,275,0
2012-04-06 00:06:32,7013,847031,140,43,97,0
2012-04-06 00:06:32,7014,546281,52,15,37,0
2012-04-06 00:06:32,7015,546273,127,109,18,50
2012-04-06 00:06:32,7016,363131,80,27,53,0
2012-04-06 00:06:32,7017,363131,149,45,104,0
2012-04-06 00:06:32,7018,363131,222,60,162,0
2012-04-06 00:06:32,7019,847031,138,77,61,1
2012-04-06 00:06:32,7020,326042,99,47,52,1
2012-04-06 00:06:32,7021,502271,741,704,37,20
2012-04-06 00:06:32,7022,363121,188,118,70,2
2012-04-06 00:06:32,7023,847011,125,74,51,1
2012-04-06 00:06:32,7024,326042,66,13,53,0
2012-04-06 00:06:32,7026,325041,68,12,56,0
2012-04-06 00:06:32,7027,847011,68,17,51,0
2012-04-06 00:06:32,7028,562262,180,144,36,43
2012-04-06 00:06:32,7031,325041,130,37,93,1
2012-04-06 00:06:32,7032,847001,76,21,55,0
2012-04-06 00:06:32,7033,616241,53,13,40,0
2012-04-06 00:06:32,7034,616241,48,12,36,1
2012-04-06 00:06:32,7035,325031,490,439,51,14
2012-04-06 00:06:32,7036,585022,168,48,120,1
2012-04-06 00:06:32,7037,585022,58,13,45,0
2012-04-06 00:06:32,7038,585022,174,49,125,0
2012-04-06 00:06:32,7039,585022,317,97,220,1
2012-04-06 00:06:32,7040,585022,182,36,146,1
2012-05-02 18:56:18,7001,612311,39,12,27,0
2012-05-02 18:56:18,7002,585092,69,17,52,0
2012-05-02 18:56:18,7003,585092,202,47,155,0
2012-05-02 18:56:18,7004,847052,60,20,40,0
2012-05-02 18:56:18,7005,326072,58,15,43,0
2012-05-02 18:56:18,7006,585092,69,16,53,0
2012-05-02 18:56:18,7007,585092,226,66,160,0
2012-05-02 18:56:18,7008,847052,182,58,124,0
2012-05-02 18:56:18,7009,847052,37,11,26,0
2012-05-02 18:56:18,7010,326071,70,18,52,0
2012-05-02 18:56:18,7011,585092,206,49,157,0
2012-05-02 18:56:18,7012,326072,390,115,275,0
2012-05-02 18:56:18,7013,847031,140,43,97,0
2012-05-02 18:56:18,7014,546281,52,15,37,0
2012-05-02 18:56:18,7016,363131,80,27,53,0
2012-05-02 18:56:18,7017,363131,149,45,104,0
2012-05-02 18:56:18,7018,363131,222,60,162,0
2012-05-02 18:56:18,7019,847021,76,23,53,0
2012-05-02 18:56:18,7020,502282,39,13,26,0
2012-05-02 18:56:18,7021,502271,51,14,37,0
2012-05-02 18:56:18,7022,325052,64,10,54,0
2012-05-02 18:56:18,7023,847021,72,20,52,0
2012-05-02 18:56:18,7024,326042,66,13,53,0
2012-05-02 18:56:18,7025,585041,115,60,55,1
2012-05-02 18:56:18,7026,325041,68,12,56,0
2012-05-02 18:56:18,7027,847001,288,238,50,5
2012-05-02 18:56:18,7029,585041,66,14,52,0
2012-05-02 18:56:18,7030,562241,67,31,36,1
2012-05-02 18:56:18,7031,325041,130,37,93,1
2012-05-02 18:56:18,7032,847001,248,193,55,4
2012-05-02 18:56:18,7033,616241,53,13,40,0
2012-05-02 18:56:18,7034,616241,48,12,36,1
2012-05-02 18:56:18,7035,325031,63,12,51,0
2012-05-02 18:56:18,7036,585022,168,48,120,1
2012-05-02 18:56:18,7037,585022,58,13,45,0
2012-05-02 18:56:18,7038,585022,174,49,125,0
2012-05-02 18:56:18,7039,585022,317,97,220,1
2012-05-02 18:56:18,7040,585022,182,36,146,1
2012-04-07 13:21:35,7002,585092,69,17,52,0
2012-04-07 13:21:35,7003,585092,202,47,155,0
2012-04-07 13:21:35,7004,847052,60,20,40,0
2012-04-07 13:21:35,7006,585092,69,16,53,0
2012-04-07 13:21:35,7007,585092,226,66,160,0
2012-04-07 13:21:35,7008,847052,182,58,124,0
2012-04-07 13:21:35,7009,847052,37,11,26,0
2012-04-07 13:21:35,7011,585092,206,49,157,0
2012-04-07 13:21:35,7014,546281,52,15,37,0
2012-04-07 13:21:35,7016,363131,80,27,53,0
2012-04-07 13:21:35,7017,363131,149,45,104,0
2012-04-07 13:21:35,7018,363131,222,60,162,0
2012-04-07 13:21:35,7019,847021,76,23,53,0
2012-04-07 13:21:35,7020,502282,39,13,26,0
2012-04-07 13:21:35,7021,502271,51,14,37,0
2012-04-07 13:21:35,7022,325052,64,10,54,0
2012-04-07 13:21:35,7023,847021,72,20,52,0
2012-04-07 13:21:35,7024,326042,66,13,53,0
2012-04-07 13:21:35,7025,681251,54,15,39,0
2012-04-07 13:21:35,7026,325041,68,12,56,0
2012-04-07 13:21:35,7027,847001,116,66,50,1
2012-04-07 13:21:35,7029,585041,66,14,52,0
2012-04-07 13:21:35,7030,562241,67,31,36,1
2012-04-07 13:21:35,7031,325041,130,37,93,1
2012-04-07 13:21:35,7032,847011,730,574,156,13
2012-04-07 13:21:35,7035,325031,63,12,51,0
2012-04-07 13:21:35,7036,585022,168,48,120,1
2012-04-07 13:21:35,7037,585022,58,13,45,0
2012-04-07 13:21:35,7038,585022,174,49,125,0
2012-04-07 13:21:35,7039,585012,183,68,115,0
2012-04-07 13:21:35,7040,585012,46,7,39,0
2012-04-08 16:39:34,7002,585092,2739,2687,52,60
2012-04-08 16:39:34,7003,585092,2872,2717,155,60
2012-04-08 16:39:34,7006,585092,2766,2713,53,62
2012-04-08 16:39:34,7007,585092,2946,2786,160,34
2012-04-08 16:39:34,7009,847052,573,547,26,16
2012-04-08 16:39:34,7016,363131,80,27,53,0
2012-04-08 16:39:34,7017,363131,149,45,104,0
2012-04-08 16:39:34,7018,363131,222,60,162,0
2012-04-08 16:39:34,7019,847031,2082,2021,61,37
2012-04-08 16:39:34,7020,502282,567,541,26,16
2012-04-08 16:39:34,7022,363121,212,142,70,10
2012-04-08 16:39:34,7023,847011,2625,2574,51,51
2012-04-08 16:39:34,7027,847001,546,496,50,11
2012-04-08 16:39:34,7032,847011,2708,2552,156,59
2012-04-18 16:49:42,7001,612311,39,12,27,0
2012-04-18 16:49:42,7002,585092,69,17,52,0
2012-04-18 16:49:42,7003,585092,202,47,155,0
2012-04-18 16:49:42,7004,326072,208,104,104,1
2012-04-18 16:49:42,7005,326072,58,15,43,0
2012-04-18 16:49:42,7006,585092,69,16,53,0
2012-04-18 16:49:42,7007,585092,226,66,160,0
2012-04-18 16:49:42,7008,326072,373,142,231,1
2012-04-18 16:49:42,7010,326072,84,21,63,1
2012-04-18 16:49:42,7011,585092,206,49,157,0
2012-04-18 16:49:42,7012,326072,390,115,275,0
2012-04-18 16:49:42,7016,363131,80,27,53,0
2012-04-18 16:49:42,7017,363131,149,45,104,0
2012-04-18 16:49:42,7018,363131,222,60,162,0
2012-04-18 16:49:42,7019,847021,724,671,53,12
2012-04-18 16:49:42,7020,502282,39,13,26,0
2012-04-18 16:49:42,7021,502271,51,14,37,0
2012-04-18 16:49:42,7022,325052,64,10,54,0
2012-04-18 16:49:42,7023,847011,725,674,51,13
2012-04-18 16:49:42,7024,326032,101,46,55,1
2012-04-18 16:49:42,7025,585041,115,60,55,1
2012-04-18 16:49:42,7026,325041,68,12,56,0
2012-04-18 16:49:42,7027,847001,116,66,50,1
2012-04-18 16:49:42,7029,585041,66,14,52,0
2012-04-18 16:49:42,7030,562241,67,31,36,1
2012-04-18 16:49:42,7031,325041,130,37,93,1
2012-04-18 16:49:42,7032,847001,76,21,55,0
2012-04-18 16:49:42,7033,616241,2003,1963,40,50
2012-04-18 16:49:42,7034,616242,20,5,15,0
2012-04-18 16:49:42,7035,325031,63,12,51,0
2012-04-09 9:28:31,7001,612311,39,12,27,0
2012-04-09 9:28:31,7002,585092,69,17,52,0
2012-04-09 9:28:31,7003,585092,202,47,155,0
2012-04-09 9:28:31,7004,326072,208,104,104,1
2012-04-09 9:28:31,7005,326072,58,15,43,0
2012-04-09 9:28:31,7006,585092,69,16,53,0
2012-04-09 9:28:31,7007,585092,226,66,160,0
2012-04-09 9:28:31,7008,326072,373,142,231,1
2012-04-09 9:28:31,7009,472281,80,46,34,1
2012-04-09 9:28:31,7010,326071,70,18,52,0
2012-04-09 9:28:31,7011,585092,206,49,157,0
2012-04-09 9:28:31,7012,326072,390,115,275,0
2012-04-09 9:28:31,7013,847031,140,43,97,0
2012-04-09 9:28:31,7014,847032,81,48,33,1
2012-04-09 9:28:31,7015,546273,27,9,18,0
2012-04-09 9:28:31,7016,363131,80,27,53,0
2012-04-09 9:28:31,7017,363131,149,45,104,0
2012-04-09 9:28:31,7018,363131,222,60,162,0
2012-04-09 9:28:31,7019,847021,76,23,53,0
2012-04-09 9:28:31,7020,326042,99,47,52,1
2012-04-09 9:28:31,7021,502271,51,14,37,0
2012-04-09 9:28:31,7022,325052,64,10,54,0
2012-04-09 9:28:31,7023,847021,72,20,52,0
2012-04-09 9:28:31,7024,326042,66,13,53,0
2012-04-09 9:28:31,7025,681251,54,15,39,0
2012-04-09 9:28:31,7026,325041,68,12,56,0
2012-04-09 9:28:31,7027,847011,68,17,51,0
2012-04-09 9:28:31,7028,562262,54,18,36,1
2012-04-09 9:28:31,7029,585041,66,14,52,0
2012-04-09 9:28:31,7030,562241,67,31,36,1
2012-04-09 9:28:31,7031,325041,130,37,93,1
2012-04-09 9:28:31,7032,847001,76,21,55,0
2012-04-09 9:28:31,7033,616241,53,13,40,0
2012-04-09 9:28:31,7034,616241,48,12,36,1
2012-04-09 9:28:31,7035,325031,63,12,51,0
2012-04-09 9:28:31,7036,585022,168,48,120,1
2012-04-09 9:28:31,7037,585022,58,13,45,0
2012-04-09 9:28:31,7038,585022,174,49,125,0
2012-04-09 9:28:31,7039,585012,183,68,115,0
2012-04-09 9:28:31,7040,585012,46,7,39,0
2012-04-10 9:28:31,7001,612311,39,12,27,0
2012-04-10 9:28:31,7002,585092,69,17,52,0
2012-04-10 9:28:31,7003,585092,202,47,155,0
2012-04-10 9:28:31,7004,847052,60,20,40,0
2012-04-10 9:28:31,7005,326072,58,15,43,0
2012-04-10 9:28:31,7006,585092,69,16,53,0
2012-04-10 9:28:31,7007,585092,226,66,160,0
2012-04-10 9:28:31,7008,847052,182,58,124,0
2012-04-10 9:28:31,7009,847052,37,11,26,0
2012-04-10 9:28:31,7010,326071,70,18,52,0
2012-04-10 9:28:31,7011,585092,206,49,157,0
2012-04-10 9:28:31,7012,326072,390,115,275,0
2012-04-10 9:28:31,7013,847031,140,43,97,0
2012-04-10 9:28:31,7014,546281,52,15,37,0
2012-04-10 9:28:31,7015,546273,27,9,18,0
2012-04-10 9:28:31,7016,363131,80,27,53,0
2012-04-10 9:28:31,7017,363131,149,45,104,0
2012-04-10 9:28:31,7018,363131,222,60,162,0
2012-04-10 9:28:31,7019,847021,76,23,53,0
2012-04-10 9:28:31,7020,502282,39,13,26,0
2012-04-10 9:28:31,7021,502271,51,14,37,0
2012-04-10 9:28:31,7022,363121,188,118,70,2
2012-04-10 9:28:31,7023,847021,72,20,52,0
2012-04-10 9:28:31,7024,326042,66,13,53,0
2012-04-10 9:28:31,7025,681251,54,15,39,0
2012-04-10 9:28:31,7026,325041,68,12,56,0
2012-04-10 9:28:31,7027,847011,68,17,51,0
2012-04-10 9:28:31,7028,562261,45,15,30,0
2012-04-10 9:28:31,7029,585041,66,14,52,0
2012-04-10 9:28:31,7030,562241,67,31,36,1
2012-04-10 9:28:31,7031,325041,130,37,93,1
2012-04-10 9:28:31,7032,847001,76,21,55,0
2012-04-10 9:28:31,7033,616241,53,13,40,0
2012-04-10 9:28:31,7034,616242,20,5,15,0
2012-04-10 9:28:31,7035,325031,63,12,51,0
2012-04-10 9:28:31,7036,585022,168,48,120,1
2012-04-10 9:28:31,7037,585022,58,13,45,0
2012-04-10 9:28:31,7038,585022,174,49,125,0
2012-04-10 9:28:31,7039,585012,183,68,115,0
2012-04-10 9:28:31,7040,585012,46,7,39,0
2012-04-13 22:40:53,7002,585092,603,551,52,12
2012-04-13 22:40:53,7003,585092,647,492,155,10
2012-04-13 22:40:53,7004,847052,60,20,40,0
2012-04-13 22:40:53,7006,585092,591,538,53,12
2012-04-13 22:40:53,7007,585092,706,546,160,6
2012-04-13 22:40:53,7008,847052,182,58,124,0
2012-04-13 22:40:53,7009,847052,37,11,26,0
2012-04-13 22:40:53,7013,847032,124,50,74,1
2012-04-13 22:40:53,7014,847032,81,48,33,1
2012-04-13 22:40:53,7016,363131,80,27,53,0
2012-04-13 22:40:53,7017,363131,149,45,104,0
2012-04-13 22:40:53,7018,363131,222,60,162,0
2012-04-13 22:40:53,7019,847021,724,671,53,12
2012-04-13 22:40:53,7020,502282,39,13,26,0
2012-04-13 22:40:53,7022,325052,64,10,54,0
2012-04-13 22:40:53,7023,847011,125,74,51,1
2012-04-13 22:40:53,7024,326042,610,557,53,16
2012-04-13 22:40:53,7025,681251,54,15,39,0
2012-04-13 22:40:53,7026,325041,68,12,56,0
2012-04-13 22:40:53,7027,847011,68,17,51,0
2012-04-13 22:40:53,7029,585041,66,14,52,0
2012-04-13 22:40:53,7030,562241,67,31,36,1
2012-04-13 22:40:53,7031,325041,130,37,93,1
2012-04-13 22:40:53,7032,847011,214,58,156,1
2012-04-13 22:40:53,7033,616241,53,13,40,0
2012-04-13 22:40:53,7034,616241,48,12,36,1
2012-04-13 22:40:53,7035,616231,1781,1754,27,57
2012-04-13 22:40:53,7036,585022,168,48,120,1
2012-04-13 22:40:53,7037,585022,58,13,45,0
2012-04-13 22:40:53,7038,585022,174,49,125,0
2012-04-13 22:40:53,7039,585012,183,68,115,0
2012-04-13 22:40:53,7040,585012,46,7,39,0
